"Step","best_acc","n_hidden","sparsity","mean_corr_det","mean_corr_norm_1","mean_corr_norm_2","mean_corr_norm_fro","mean_corr_norm_nuc","mean_corr_global_diff","bottleneck_det","bottleneck_norm_1","bottleneck_norm_2","bottleneck_norm_fro","bottleneck_norm_nuc","bottleneck_global_diff"
"1","0.9672080278396606","38","0.0012974838066501684","0.00009764357259177639","0.05349920321816032","0.04970533353369976","0.049744137744825424","0.05166978212804577","0.04038281196245467","0.0069730523973703384","0.6646792888641357","0.5615337491035461","0.5616710186004639","0.5739516019821167","0.023434042930603027"
"2","0.9672080278396606","38","0.0012974838066501684","0.0008975552411878987","0.0624625809351919","0.05902431073925939","0.060951685472189876","0.07423084563896978","0.2814679007759119","0.2109048217535019","1.3057154417037964","1.2041350603103638","1.2168068885803223","1.3792855739593506","0.14665621519088745"
"1","0.9587787985801697","38","0.0012974838066501684","0.0002541876059875343","0.07022703010158615","0.06425941501574665","0.06438104974867939","0.06821506269671676","0.06215873098350816","0.07212580740451813","0.6856496334075928","0.6126264929771423","0.6238365769386292","0.7303586006164551","0.1960740089416504"
"2","0.9587787985801697","38","0.0012974838066501684","0.000052904237878059515","0.044713199419888904","0.04115012336973394","0.041170201883563","0.04243576320616201","0.03242276885670005","0.4663957357406616","1.2152550220489502","1.1618613004684448","1.2292520999908447","1.5632824897766113","0.34678900241851807"
"1","0.9623766541481018","38","0.0012974838066501684","0.0004004461747991376","0.05901127921682278","0.05279299919415995","0.05333513128397408","0.06037821278140838","0.1477024433283523","0.008543560281395912","0.5538651347160339","0.5290268659591675","0.5292733311653137","0.5451764464378357","0.030606329441070557"
"2","0.9623766541481018","38","0.0012974838066501684","0.000157397428391597","0.04992351588542149","0.04459070541129491","0.044730198749878936","0.04812053134564149","0.08114530357998298","0.01619168557226658","1.3184621334075928","1.2657562494277954","1.265820860862732","1.2785483598709106","0.010125070810317993"
"1","0.9677220582962036","38","0.0012974838066501684","0.00044472348454642046","0.06784501191882752","0.057885104899677214","0.05839273751046699","0.06556797055772841","0.14396715436179117","0.035229627043008804","0.5550986528396606","0.5232464075088501","0.5275603532791138","0.5905753374099731","0.12921281158924103"
"2","0.9677220582962036","38","0.0012974838066501684","0.00044132383686201553","0.05299678399102273","0.04541770793647133","0.04644554090406131","0.05513470725046849","0.2235389783577527","0.45229798555374146","1.3133223056793213","1.2412437200546265","1.2936253547668457","1.6056346893310547","0.29649096727371216"
"1","0.9536389708518982","38","0.0012974838066501684","0.0003507203398460206","0.058447856767656","0.05031681756145903","0.05079730689466511","0.05728705846386977","0.14582805157040563","0.014015850611031055","0.6334292888641357","0.6012228727340698","0.6016746759414673","0.624535083770752","0.03898579254746437"
"2","0.9536389708518982","38","0.0012974838066501684","0.00020498208655136507","0.06181865151471204","0.051441768085393975","0.051595868623702974","0.05542650838847011","0.08243566909999835","0.04239674657583237","1.2976973056793213","1.2597310543060303","1.2601805925369263","1.293386459350586","0.02680801972746849"
"1","0.9663857221603394","70","0.00011486133691636535","0.00021354482215586956","0.028532314746691996","0.02808433603655966","0.029095466323912106","0.03568803447820631","0.27981688922183856","0.022168617695569992","0.7532894611358643","0.6733958125114441","0.6741999983787537","0.7063164710998535","0.04968681558966637"
"2","0.9663857221603394","70","0.00011486133691636535","0.0001690097441963833","0.025707668024688737","0.020016774216307796","0.021724694445036528","0.02846017985050283","0.5528430780390655","0.10276450216770172","1.5409128665924072","1.4794325828552246","1.481062412261963","1.5488946437835693","0.04704677686095238"
"1","0.9631990194320679","70","0.00011486133691636535","0.00012749339345390857","0.02768482157077015","0.02645725371135147","0.026892518233926774","0.03127609828399158","0.18275271404509397","0.032283492386341095","0.6930509805679321","0.6697235703468323","0.6714560985565186","0.7179277539253235","0.072269007563591"
"2","0.9631990194320679","70","0.00011486133691636535","0.000007943484974585522","0.035390361637746365","0.03248632064462373","0.03248724084928883","0.03273083848527061","0.00796514399979062","0.5140801668167114","1.5275492668151855","1.4512513875961304","1.4938578605651855","1.8054836988449097","0.24499842524528503"
"1","0.9771792888641357","70","0.00011486133691636535","0.000011093970490433857","0.024049538941924114","0.02078175477133653","0.02078861005997344","0.021315587001218068","0.029581985966756208","0.00026552414055913687","0.6827713847160339","0.6441211700439453","0.6441212296485901","0.6445333957672119","0.0006480477750301361"
"2","0.9771792888641357","70","0.00011486133691636535","0.000035702657281824425","0.03619445044358566","0.03203322837969279","0.032052612119765136","0.03314777908493665","0.06276585471972099","0.25695347785949707","1.649465560913086","1.5546458959579468","1.563407063484192","1.7199269533157349","0.10708312690258026"
"1","0.9518914222717285","70","0.00011486133691636535","0.00018574756193240395","0.046308067697321834","0.037701474195388475","0.03802202649475438","0.04262827257387533","0.16117839652619276","0.00746315810829401","0.6513158082962036","0.6451876163482666","0.6452913284301758","0.6567550301551819","0.018149083480238914"
"2","0.9518914222717285","70","0.00011486133691636535","0.00007099446912116549","0.03715692935765289","0.03580171266392856","0.03585658771322836","0.03778470352773421","0.05792239502329141","0.23804675042629242","1.453125","1.4212133884429932","1.4310493469238281","1.5887088775634766","0.1182757019996643"
"1","0.9656661152839661","70","0.00011486133691636535","0.000045057488377126126","0.024370385781196303","0.023328603030480042","0.02340842003890577","0.025260029799509295","0.10328384887332837","0.0627082884311676","0.6354851722717285","0.6182642579078674","0.6265285015106201","0.7196906208992004","0.1657857894897461"
"2","0.9656661152839661","70","0.00011486133691636535","0.00007378297895477996","0.02982848247462331","0.02336948915395766","0.023581797192494026","0.02652672457612283","0.19174150953412603","0.3771510720252991","1.532689094543457","1.4933571815490723","1.5145621299743652","1.7459096908569336","0.16925829648971558"
"1","0.9672080278396606","98","0.0003464248404954265","0.00005649450396664355","0.02196492878687961","0.02042345591697888","0.020609929187904153","0.02318961381877048","0.16577405180433144","0.004370358306914568","0.7393091917037964","0.6712631583213806","0.6712947487831116","0.6777738332748413","0.009819667786359787"
"2","0.9672080278396606","98","0.0003464248404954265","0.00006326392011473601","0.013037624984421875","0.01170732359308762","0.012894276787889805","0.01711111376013221","0.5306478483386732","0.16787134110927582","1.7586348056793213","1.638943076133728","1.6421406269073486","1.741369605064392","0.06339479982852936"
"1","0.9755345582962036","98","0.0003464248404954265","0.00024328126038323733","0.03049119657069915","0.028584295069964884","0.029824473829566715","0.03709530644134086","0.3059834852522032","0.014989595860242844","0.6866776347160339","0.6599253416061401","0.6603161096572876","0.6826394200325012","0.034851785749197006"
"2","0.9755345582962036","98","0.0003464248404954265","0.0000012665293465932619","0.01920208954322825","0.019391916187646904","0.01939202617357169","0.01945722842055559","0.003563329028363165","0.17840266227722168","1.713404655456543","1.6771092414855957","1.6804794073104858","1.7834843397140503","0.06345812976360321"
"1","0.9708058834075928","98","0.0003464248404954265","0.0000071129293300692225","0.018843038895919657","0.014353777734476634","0.014362329169343957","0.014849321796928189","0.043118909077165174","0.021199267357587814","0.6599506139755249","0.6390439867973328","0.6399044394493103","0.6722173690795898","0.05197587609291077"
"2","0.9708058834075928","98","0.0003464248404954265","0.00014586789952879102","0.02735692289255106","0.023313214766838182","0.024138236949590858","0.029570091005814893","0.28066410097279576","0.12856777012348175","1.71875","1.685340166091919","1.6870657205581665","1.761626124382019","0.045289527624845505"
"1","0.9634045958518982","98","0.0003464248404954265","0.00017185053821453558","0.02088318095310486","0.019713758064064123","0.0215551245655615","0.028431047667399525","0.4441004978176234","0.028151314705610275","0.6889391541481018","0.6613296866416931","0.6626982688903809","0.7038974165916443","0.06641851365566254"
"2","0.9634045958518982","98","0.0003464248404954265","0.00010735532552011854","0.016295909670120932","0.0168241341420581","0.017993583559032016","0.023205165380494584","0.4469600903311921","0.26044952869415283","1.638157844543457","1.5989971160888672","1.6072717905044556","1.7618801593780518","0.10195508599281311"
"1","0.9662829041481018","98","0.0003464248404954265","0.00013496303404321485","0.025131450327388956","0.021920525959527804","0.022768776507696563","0.028077450948116082","0.28969476139070693","0.003765326226130128","0.7571957111358643","0.7170870900154114","0.7171063423156738","0.7223379611968994","0.007359970360994339"
"2","0.9662829041481018","98","0.0003464248404954265","0.00001794312697428021","0.024374498488025344","0.022274729340674385","0.022289290200919878","0.02308026671443342","0.037336344665777774","0.13427014648914337","1.6689966917037964","1.573711633682251","1.576022744178772","1.6590323448181152","0.054494746029376984"
